num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
10000,0.0096,0.05,41,0.00076608,0.000921109999999999,33,90
10000,0.0124,0.5,4,0.00051281,0.00070287,0,71
10000,0.0124,0.45,5,0.00051168,0.00070708,2,71
10000,0.0124,0.4,5,0.0005096,0.00071607,1,70
10000,0.0124,0.35,6,0.00050941,0.0007352,3,77
10000,0.0124,0.3,7,0.00052983,0.00078682,6,70
10000,0.0124,0.25,8,0.00052209,0.0007431,5,84
10000,0.0124,0.2,10,0.00053728,0.00072229,8,77
10000,0.0124,0.15,14,0.00055511,0.00074332,8,84
10000,0.0124,0.1,20,0.00058435,0.00075789,19,86
10000,0.0124,0.05,41,0.00076997,0.00088695,34,94
10000,0.0157,0.5,4,0.00051563,0.0007084,0,81
10000,0.0157,0.45,5,0.00051073,0.00076696,0,82
10000,0.0157,0.4,5,0.00050843,0.00072348,0,68
10000,0.0157,0.35,6,0.00051265,0.00073361,1,80
10000,0.0157,0.3,7,0.00052638,0.00072075,8,77
10000,0.0157,0.25,8,0.00053814,0.00075446,10,80
10000,0.0157,0.2,10,0.00058032,0.00076096,10,81
10000,0.0157,0.15,14,0.00057065,0.00073488,21,92
10000,0.0157,0.1,20,0.000588,0.00081003,24,95
10000,0.0157,0.05,41,0.00075574,0.00088369,48,97
10000,0.055,0.5,4,0.00051429,0.00070123,2,82
10000,0.055,0.45,5,0.00051139,0.00071859,3,80
10000,0.055,0.4,5,0.00050982,0.00073899,7,83
10000,0.055,0.35,6,0.00051888,0.00073223,5,94
10000,0.055,0.3,7,0.00053064,0.00068783,17,84
10000,0.055,0.25,8,0.00054029,0.00070454,25,88
10000,0.055,0.2,10,0.00055221,0.00069006,31,94
10000,0.055,0.15,14,0.00057559,0.00067587,44,97
10000,0.055,0.1,20,0.00058525,0.00072317,61,98
10000,0.055,0.05,41,0.00072984,0.00077977,88,100
10000,0.0643,0.5,4,0.00051821,0.00076193,2,82
10000,0.0643,0.45,5,0.000546,0.0007442,5,82
10000,0.0643,0.4,5,0.00051983,0.00077024,9,78
10000,0.0643,0.35,6,0.00052618,0.00079003,13,82
10000,0.0643,0.3,7,0.00051878,0.0007299,18,88
10000,0.0643,0.25,8,0.00051657,0.0007118,20,89
10000,0.0643,0.2,10,0.00053521,0.00068908,32,91
10000,0.0643,0.15,14,0.0005552,0.00065546,48,93
10000,0.0643,0.1,20,0.00057947,0.00065932,65,97
10000,0.0643,0.05,41,0.00072435,0.0007348,89,100
10000,0.0722,0.5,4,0.00051684,0.00070067,2,89
10000,0.0722,0.45,5,0.00051147,0.00071293,11,90
10000,0.0722,0.4,5,0.00051599,0.00070929,16,90
10000,0.0722,0.35,6,0.00052242,0.00068944,12,93
10000,0.0722,0.3,7,0.00052542,0.00071242,16,88
10000,0.0722,0.25,8,0.00054113,0.00069154,21,93
