dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
20,20000,0.7,0.3,99,13.652338,0.00188167,7255.43692570961
20,20000,0.7,0.25,100,13.652338,0.00235938,5786.4091413846
20,20000,0.7,0.2,100,13.652338,0.00369709,3692.72535967477
20,20000,0.7,0.15,100,13.652338,0.00686578,1988.46132558864
20,20000,0.7,0.1,100,13.652338,0.02558334,533.641737161762
20,20000,0.7,0.05,100,13.652338,1.13695803,12.0077765755346
20,20000,0.8,0.5,10,13.441983,0.00102263,13144.5224568026
20,20000,0.8,0.45,26,13.441983,0.00122722,10953.1974707061
20,20000,0.8,0.4,49,13.441983,0.00132182,10169.2991481442
20,20000,0.8,0.35,72,13.441983,0.00157788,8519.01475397369
20,20000,0.8,0.3,95,13.441983,0.00185697,7238.66459878189
20,20000,0.8,0.25,99,13.441983,0.00234917,5722.01373250978
20,20000,0.8,0.2,100,13.441983,0.00362793,3705.13846739049
20,20000,0.8,0.15,100,13.441983,0.00689476,1949.59403953147
20,20000,0.8,0.1,100,13.441983,0.02174877,618.057159094515
20,20000,0.8,0.05,100,13.441983,1.01757281,13.2098488362715
20,20000,0.9,0.5,3,15.819039,0.00101816,15536.889094052
20,20000,0.9,0.45,5,15.819039,0.00114919,13765.3817036347
20,20000,0.9,0.4,18,15.819039,0.00127878,12370.414770328
20,20000,0.9,0.35,43,15.819039,0.00155321,10184.7393462571
20,20000,0.9,0.3,61,15.819039,0.00192644,8211.53993895476
20,20000,0.9,0.25,84,15.819039,0.00245054,6455.32780530006
20,20000,0.9,0.2,96,15.819039,0.00356887,4432.50636756172
20,20000,0.9,0.15,100,15.819039,0.00709572,2229.37756844971
20,20000,0.9,0.1,100,15.819039,0.0209909,753.614137554845
20,20000,0.9,0.05,100,15.819039,0.83061073,19.0450694033293
20,20000,0.95,0.5,0,14.721587,0.00096886,15194.7515636934
20,20000,0.95,0.45,1,14.721587,0.00117329,12547.2704957854
20,20000,0.95,0.4,1,14.721587,0.00120749,12191.8914442356
20,20000,0.95,0.35,12,14.721587,0.00152387,9660.65806138319
20,20000,0.95,0.3,29,14.721587,0.0017639,8346.04399342367
20,20000,0.95,0.25,36,14.721587,0.00251116,5862.46475732331
20,20000,0.95,0.2,65,14.721587,0.00394067,3735.80812399922
