dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
200,30000,0.8,0.5,0,542.108266,0.18150367,2986.76200872412
200,30000,0.8,0.45,6,542.108266,0.32090587,1689.30616943841
200,30000,0.8,0.4,75,542.108266,0.97436258,556.37221412998
200,30000,0.8,0.35,100,542.108266,0.35521368,1526.14692654855
200,30000,0.8,0.3,100,542.108266,0.3979744,1362.16868723214
200,30000,0.8,0.25,100,542.108266,0.46551191,1164.54220473113
200,30000,0.8,0.2,100,542.108266,0.52834539,1026.04901312757
200,30000,0.8,0.15,100,542.108266,0.68622583,789.985223960456
200,30000,0.8,0.1,100,542.108266,1.07148202,505.942475824279
200,30000,0.8,0.05,100,542.108266,4.40171713,123.158360700929
200,30000,0.9,0.5,0,572.758724,0.1548336,3699.18883239814
200,30000,0.9,0.45,0,572.758724,0.21220217,2699.11812871659
200,30000,0.9,0.4,1,572.758724,0.3194587,1792.90382137034
200,30000,0.9,0.35,27,572.758724,0.32579646,1758.02623515308
200,30000,0.9,0.3,90,572.758724,0.45263751,1265.38060003025
200,30000,0.9,0.25,100,572.758724,0.50153591,1142.00940068279
200,30000,0.9,0.2,100,572.758724,0.59749927,958.593177862795
200,30000,0.9,0.15,100,572.758724,0.74643669,767.323915977388
200,30000,0.9,0.1,100,572.758724,1.05701508,541.864288255944
200,30000,0.9,0.05,100,572.758724,4.70228855,121.804248699285
200,30000,1,0.5,100,3194.840156,0.13435826,23778.5168995192
200,30000,1,0.45,100,3194.840156,0.18065869,17684.3978886374
200,30000,1,0.4,100,3194.840156,0.24520268,13029.3851437513
200,30000,1,0.35,100,3194.840156,0.15627854,20443.2429174217
200,30000,1,0.3,100,3194.840156,0.17965829,17782.870782083
200,30000,1,0.25,100,3194.840156,0.21043956,15181.7469871159
200,30000,1,0.2,100,3194.840156,0.28541065,11193.8365159114
200,30000,1,0.15,100,3194.840156,0.39562353,8075.45536030175
200,30000,1,0.1,100,3194.840156,0.58499696,5461.29360398728
200,30000,1,0.05,100,3194.840156,3.08352061,1036.10144379739
500,30000,0.6,0.5,33,2257.641866,2.18881239,1031.44603727321
