filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.306000_3370.csv,0.306,0.41,8,37
1000_0.306000_3370.csv,0.306,0.46,7,27
1000_0.335000_9989.csv,0.335,0.01,300,100
1000_0.335000_9989.csv,0.335,0.06,50,100
1000_0.335000_9989.csv,0.335,0.11,28,100
1000_0.335000_9989.csv,0.335,0.16,19,100
1000_0.335000_9989.csv,0.335,0.21,15,94
1000_0.335000_9989.csv,0.335,0.26,12,76
1000_0.335000_9989.csv,0.335,0.31,10,58
1000_0.335000_9989.csv,0.335,0.36,9,55
1000_0.335000_9989.csv,0.335,0.41,8,45
1000_0.335000_9989.csv,0.335,0.46,7,28
1000_0.339000_8649.csv,0.339,0.01,300,100
1000_0.339000_8649.csv,0.339,0.06,50,100
1000_0.339000_8649.csv,0.339,0.11,28,100
1000_0.339000_8649.csv,0.339,0.16,19,96
1000_0.339000_8649.csv,0.339,0.21,15,95
1000_0.339000_8649.csv,0.339,0.26,12,72
1000_0.339000_8649.csv,0.339,0.31,10,68
1000_0.339000_8649.csv,0.339,0.36,9,49
1000_0.339000_8649.csv,0.339,0.41,8,43
1000_0.339000_8649.csv,0.339,0.46,7,32
1000_0.353000_7067.csv,0.353,0.01,300,100
1000_0.353000_7067.csv,0.353,0.06,50,100
1000_0.353000_7067.csv,0.353,0.11,28,100
1000_0.353000_7067.csv,0.353,0.16,19,99
1000_0.353000_7067.csv,0.353,0.21,15,92
1000_0.353000_7067.csv,0.353,0.26,12,85
1000_0.353000_7067.csv,0.353,0.31,10,68
1000_0.353000_7067.csv,0.353,0.36,9,48
1000_0.353000_7067.csv,0.353,0.41,8,41
1000_0.353000_7067.csv,0.353,0.46,7,34
1000_0.359000_1834.csv,0.359,0.01,300,100
1000_0.359000_1834.csv,0.359,0.06,50,100
1000_0.359000_1834.csv,0.359,0.11,28,100
1000_0.359000_1834.csv,0.359,0.16,19,100
1000_0.359000_1834.csv,0.359,0.21,15,97
1000_0.359000_1834.csv,0.359,0.26,12,83
1000_0.359000_1834.csv,0.359,0.31,10,61
1000_0.359000_1834.csv,0.359,0.36,9,55
1000_0.359000_1834.csv,0.359,0.41,8,37
1000_0.359000_1834.csv,0.359,0.46,7,28
1000_0.386000_1171.csv,0.386,0.01,300,100
1000_0.386000_1171.csv,0.386,0.06,50,100
1000_0.386000_1171.csv,0.386,0.11,28,100
1000_0.386000_1171.csv,0.386,0.16,19,100
1000_0.386000_1171.csv,0.386,0.21,15,97
1000_0.386000_1171.csv,0.386,0.26,12,87
1000_0.386000_1171.csv,0.386,0.31,10,69
1000_0.386000_1171.csv,0.386,0.36,9,64
1000_0.386000_1171.csv,0.386,0.41,8,41
1000_0.386000_1171.csv,0.386,0.46,7,36
1000_0.388000_7419.csv,0.388,0.01,300,100
1000_0.388000_7419.csv,0.388,0.06,50,100
1000_0.388000_7419.csv,0.388,0.11,28,100
1000_0.388000_7419.csv,0.388,0.16,19,99
1000_0.388000_7419.csv,0.388,0.21,15,96
1000_0.388000_7419.csv,0.388,0.26,12,90
1000_0.388000_7419.csv,0.388,0.31,10,70
1000_0.388000_7419.csv,0.388,0.36,9,60
1000_0.388000_7419.csv,0.388,0.41,8,46
1000_0.388000_7419.csv,0.388,0.46,7,41
1000_0.416000_3453.csv,0.416,0.01,300,100
1000_0.416000_3453.csv,0.416,0.06,50,100
1000_0.416000_3453.csv,0.416,0.11,28,100
1000_0.416000_3453.csv,0.416,0.16,19,99
1000_0.416000_3453.csv,0.416,0.21,15,99
1000_0.416000_3453.csv,0.416,0.26,12,84
1000_0.416000_3453.csv,0.416,0.31,10,77
1000_0.416000_3453.csv,0.416,0.36,9,60
1000_0.416000_3453.csv,0.416,0.41,8,56
1000_0.416000_3453.csv,0.416,0.46,7,37
1000_0.417000_2141.csv,0.417,0.01,300,100
1000_0.417000_2141.csv,0.417,0.06,50,100
1000_0.417000_2141.csv,0.417,0.11,28,100
1000_0.417000_2141.csv,0.417,0.16,19,100
1000_0.417000_2141.csv,0.417,0.21,15,98
1000_0.417000_2141.csv,0.417,0.26,12,85
1000_0.417000_2141.csv,0.417,0.31,10,79
1000_0.417000_2141.csv,0.417,0.36,9,60
1000_0.417000_2141.csv,0.417,0.41,8,37
1000_0.417000_2141.csv,0.417,0.46,7,34
1000_0.434000_6252.csv,0.434,0.01,300,100
1000_0.434000_6252.csv,0.434,0.06,50,100
1000_0.434000_6252.csv,0.434,0.11,28,100
1000_0.434000_6252.csv,0.434,0.16,19,100
1000_0.434000_6252.csv,0.434,0.21,15,95
1000_0.434000_6252.csv,0.434,0.26,12,92
1000_0.434000_6252.csv,0.434,0.31,10,71
1000_0.434000_6252.csv,0.434,0.36,9,70
1000_0.434000_6252.csv,0.434,0.41,8,56
1000_0.434000_6252.csv,0.434,0.46,7,34
1000_0.436000_5723.csv,0.436,0.01,300,100
1000_0.436000_5723.csv,0.436,0.06,50,100
1000_0.436000_5723.csv,0.436,0.11,28,100
1000_0.436000_5723.csv,0.436,0.16,19,100
1000_0.436000_5723.csv,0.436,0.21,15,99
1000_0.436000_5723.csv,0.436,0.26,12,89
1000_0.436000_5723.csv,0.436,0.31,10,80
1000_0.436000_5723.csv,0.436,0.36,9,60
1000_0.436000_5723.csv,0.436,0.41,8,49
1000_0.436000_5723.csv,0.436,0.46,7,41
1000_0.440000_8756.csv,0.44,0.01,300,100
1000_0.440000_8756.csv,0.44,0.06,50,100
1000_0.440000_8756.csv,0.44,0.11,28,100
1000_0.440000_8756.csv,0.44,0.16,19,99
1000_0.440000_8756.csv,0.44,0.21,15,96
1000_0.440000_8756.csv,0.44,0.26,12,89
1000_0.440000_8756.csv,0.44,0.31,10,78
1000_0.440000_8756.csv,0.44,0.36,9,67
1000_0.440000_8756.csv,0.44,0.41,8,55
1000_0.440000_8756.csv,0.44,0.46,7,30
1000_0.443000_3495.csv,0.443,0.01,300,100
1000_0.443000_3495.csv,0.443,0.06,50,100
1000_0.443000_3495.csv,0.443,0.11,28,100
1000_0.443000_3495.csv,0.443,0.16,19,100
